"No.","Time","Source","Destination","Protocol","Length","Info"
"1150","331.622271","Cisco_eb:9c:98","CDP/VTP/DTP/PAgP/UDLD","CDP","506","Device ID: csrl-labsw-1.csrl.local  Port ID: GigabitEthernet1/0/24  "
"1151","331.993644","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1152","332.433350","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1153","332.993534","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1154","333.440501","192.168.230.113","224.0.0.118","UDP","279","5240  >  5240 Len=237"
"1155","333.440841","fe80::a2b3:ccff:feff:eb63","ff02::15a","UDP","283","5240  >  5240 Len=221"
"1156","333.495897","Cisco_eb:9c:98","Cisco_eb:9c:98","LOOP","60","Reply"
"1157","333.995052","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1158","334.434199","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1159","334.999283","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1160","335.994034","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1161","336.103888","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1162","336.191624","192.168.199.211","224.0.0.1","IGMPv2","60","Membership Query, general"
"1163","336.453211","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1164","336.997804","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1165","337.121084","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1166","337.240249","192.168.230.103","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"1167","337.240280","192.168.230.103","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"1168","337.994907","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1169","338.161063","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1170","338.456993","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1171","338.993557","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1172","339.094295","192.168.230.126","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1173","339.201202","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1174","339.725796","192.168.230.103","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"1175","339.997532","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1176","340.094641","192.168.230.126","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1177","340.241053","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1178","340.458844","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1179","340.988627","192.168.230.151","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1180","340.994564","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1181","341.095810","192.168.230.126","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1182","341.281075","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1183","341.993726","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1184","342.096227","192.168.230.126","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1185","342.321392","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1186","342.461962","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1187","342.517363","192.168.230.136","224.0.0.251","MDNS","114","Standard query 0x0000 SRV HP LaserJet 500 color M551 [E9E904]._privet._tcp.local, ""QM"" question"
"1188","342.517391","192.168.230.139","224.0.0.251","MDNS","114","Standard query 0x0000 SRV HP LaserJet 500 color M551 [E9E904]._privet._tcp.local, ""QM"" question"
"1189","342.517570","fe80::fe66:9c07:d4c0:e690","ff02::fb","MDNS","134","Standard query 0x0000 SRV HP LaserJet 500 color M551 [E9E904]._privet._tcp.local, ""QM"" question"
"1190","342.517684","fe80::f639:5fa4:baed:a9c0","ff02::fb","MDNS","134","Standard query 0x0000 SRV HP LaserJet 500 color M551 [E9E904]._privet._tcp.local, ""QM"" question"
"1191","342.520076","192.168.230.10","224.0.0.251","MDNS","224","Standard query response 0x0000 SRV, cache flush 0 0 80 CSRL-CTB75.local A, cache flush 192.168.230.10 AAAA, cache flush fe80::8a51:fbff:fee9:e904 NSEC, cache flush CSRL-CTB75.local NSEC, cache flush HP LaserJet 500 color M551 [E9E904]._privet._tcp.local"
"1192","342.520749","fe80::8a51:fbff:fee9:e904","ff02::fb","MDNS","244","Standard query response 0x0000 SRV, cache flush 0 0 80 CSRL-CTB75.local A, cache flush 192.168.230.10 AAAA, cache flush fe80::8a51:fbff:fee9:e904 NSEC, cache flush CSRL-CTB75.local NSEC, cache flush HP LaserJet 500 color M551 [E9E904]._privet._tcp.local"
"1193","342.562271","192.168.230.151","192.168.230.255","UDP","86","57621  >  57621 Len=44"
